Control_energy,Maximum Spacing,Settling Time
0.0,0.0,99.99000000000001
177.27492607949705,43.907180322814156,65.15
280.72810120520023,42.75362580528292,48.44
320.9319645606799,45.15818994871552,46.84
319.82142557824636,48.113246624653584,42.37
291.0793341590644,33.61518240829696,38.67
263.24319551429636,46.89892549100466,37.04
280.60573176320503,44.32955135402608,37.050000000000004
230.93705553655406,41.08391307405759,36.14
178.94641123214285,40.6010236670279,29.45
175.0061518137983,41.252271403710665,29.36
173.28978499977686,38.19158397294791,29.67
144.95423268381154,43.6664687767709,25.28
